0.297,0.412,0.495,0.394,0.453,0.605,0.456,0.519,0.698
0.158,0.140,0.097,0.085,0.142,0.108,0.111,0.085,0.163
0.041,0.036,0.025,0.022,0.037,0.028,0.029,0.022,0.042
0.217,0.341,0.446,0.351,0.381,0.550,0.399,0.476,0.615
0.377,0.483,0.545,0.437,0.525,0.659,0.512,0.562,0.780
